IP,Country,class
2.50.227.169,AE,anomaly
2.50.56.131,AE,normal
2.5.20.162,FR,normal
2.5.253.134,FR,normal
2.51.109.170,AE,anomaly
2.51.139.219,AE,anomaly
2.51.146.142,AE,normal
2.51.33.140,AE,anomaly
2.55.190.64,IL,normal
2.55.22.22,IL,normal
2.60.70.57,RU,anomaly
2.73.19.90,KZ,normal
2.76.35.197,KZ,anomaly
2.78.221.128,KZ,normal
2.78.255.96,KZ,anomaly
2.85.37.194,GR,anomaly
2.86.245.35,GR,anomaly
2.86.6.237,GR,normal
2.89.222.130,SA,anomaly
2.90.101.80,SA,normal
2.90.33.21,SA,anomaly
2.91.123.34,SA,normal
2.92.32.107,RU,anomaly
2.93.78.109,RU,normal
2.94.234.242,RU,anomaly
2.96.245.32,GB,normal
2.96.78.241,GB,normal
2.97.127.42,GB,normal
2.98.23.42,GB,anomaly
2.99.44.123,GB,normal
4.16.11.230,US,normal
4.30.185.66,US,anomaly
4.31.98.194,US,anomaly
4.34.232.68,US,normal
4.79.123.0,US,anomaly
4.79.123.3,US,anomaly
5.100.119.156,,normal
5.1.16.6,EU,normal
5.1.20.157,EU,normal
5.1.20.207,EU,anomaly
5.1.31.24,EU,normal
5.1.31.29,EU,anomaly
5.102.6.224,,normal
5.105.130.189,,normal
5.105.141.37,,normal
5.107.125.179,,anomaly
5.107.149.1,,normal
5.107.154.18,,anomaly
5.107.169.44,,normal
5.108.129.204,,anomaly
5.109.121.190,,anomaly
5.112.138.29,,normal
5.113.169.6,,anomaly
5.114.191.205,,normal
5.115.231.128,,normal
5.115.231.201,,normal
5.116.247.157,,normal
5.120.106.55,,normal
5.120.174.30,,anomaly
5.120.239.238,,anomaly
5.12.152.164,EU,anomaly
5.12.77.152,EU,anomaly
5.121.189.200,,anomaly
5.121.76.172,,anomaly
5.122.183.10,,anomaly
5.122.23.202,,normal
5.122.237.90,,normal
5.122.242.37,,anomaly
5.124.84.18,,normal
5.127.23.252,,normal
5.127.51.247,,anomaly
5.128.207.251,,normal
5.134.177.245,,normal
5.135.193.212,,normal
5.135.210.2,,anomaly
5.135.46.182,,anomaly
5.141.192.215,,normal
5.142.157.197,,anomaly
5.142.99.233,,normal
5.144.207.227,,normal
5.147.253.13,,anomaly
5.148.15.234,,normal
5.148.22.58,,normal
5.148.245.116,,anomaly
5.148.54.52,,anomaly
5.149.17.42,,anomaly
5.150.199.46,,normal
5.15.124.21,EU,anomaly
5.151.203.33,,anomaly
5.153.50.216,,anomaly
5.155.139.88,,anomaly
5.156.232.1,,normal
5.156.248.111,,anomaly
5.156.38.94,,normal
5.156.6.30,,normal
5.157.14.137,,anomaly
5.157.14.85,,normal
5.157.15.126,,anomaly
5.157.15.19,,anomaly
5.157.40.24,,normal
5.158.232.111,,normal
5.160.223.32,,normal
5.160.85.130,,normal
5.160.86.107,,normal
5.162.15.56,,normal
5.164.107.103,,normal
5.164.219.38,,anomaly
5.164.253.177,,normal
5.164.69.51,,anomaly
5.164.82.51,,anomaly
5.166.155.88,,normal
5.166.205.13,,normal
5.167.44.45,,anomaly
5.168.214.35,,anomaly
5.170.110.59,,anomaly
5.172.232.248,,normal
5.172.233.169,,normal
5.175.111.54,,normal
5.175.83.20,,anomaly
